0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/display?fileName=cafeimage/695fca17-8420-43e4-a26f-abe85cc9d728_%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%96%B4%EB%A0%88%EC%9D%B4%EC%95%84%EC%9B%83.JPG HTTP/1.1" 500 4007
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/display?fileName=190923be-2e53-429d-bb5b-5b2808f72686_%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%96%B4%EB%A0%88%EC%9D%B4%EC%95%84%EC%9B%83.JPG HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/pattern2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/lcategory.json HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/bestReview?ccode=106752 HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/resources/img/core-img/heart_no.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/display?fileName=2bec1ed3-ffab-46fe-92fd-cce2a6eb392d_img12.jpg HTTP/1.1" 500 3920
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/reviewImage?rcode=83 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/reviewImage?rcode=61 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:40:59 +0900] "GET /final/reviewImage?rcode=21 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:00 +0900] "GET /final/display?fileName=attach/79a8b3d3-624f-4f3a-b3d7-36f416bdd79d_coffee2.jpg HTTP/1.1" 500 3947
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:00 +0900] "GET /final/display?fileName=attach/1b564d33-0929-487e-ae96-8ae024b902d6_coffee1.jpg HTTP/1.1" 500 3947
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:00 +0900] "GET /final/display?fileName=attach/967b0d7a-cd24-4271-a12d-2041a81681be_coffee1.jpg HTTP/1.1" 500 3947
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:00 +0900] "GET /final/display?fileName=attach/1acb29b1-f1e9-436c-bfaa-e247ba4bcd17_coffee2.jpg HTTP/1.1" 500 3947
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:00 +0900] "GET /final/display?fileName=attach/cafe.jpg HTTP/1.1" 500 3827
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:00 +0900] "GET /final/info.json?ccode=106752 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:00 +0900] "GET /final/resources/img/core-img/free_star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:41:01 +0900] "GET /final/nearbysearch.json?ccode=106752 HTTP/1.1" 200 1529
